date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,BTC_trends,gold_spot,gspc_spot,ndx_spot,price_change,target,percent_change_24h,percent_change_3d,percent_change_7d,percent_change_14d,ma_7d,price_vs_ma7d,ma_14d,price_vs_ma14d,close_7_ema,close_14_ema,dx,adx,adxr,rsi_7,rsi,stochrsi,atr,mfi,boll,boll_ub,boll_lb,boll_width,kdjk,kdjd,kdj_signal,macd,macds,macdh
2025-05-19,2781,106430.5327027544,107068.7223682781,102112.6854600726,105606.1814675408,61761126647.23,2098071217513.42,0.0183440958029954,29.0,48.0,3228.899902,5963.600098,21447.05078,-839.8290868855984,1.0,-0.7889718764576781,2.0455157446344074,2.7168057405740464,11.4600034756279,104312.34896610594,1.2403445174600134,102989.22756685015,2.540997697057181,104346.63224182908,102525.60137154149,26.541828679996865,29.417598317101863,32.247508556494004,69.62795114029188,69.80632870840616,36.528281916428426,2803.3511527424444,0.5745960917933643,100720.73646295638,109258.65355202768,92182.81937388508,17075.8341781426,78.01391298528416,78.1268718844797,-1.0,3733.056478018334,3758.7852546482914,-25.728776629957338
2025-05-20,2781,105605.4091445749,107307.1139351273,104206.5157781555,106791.0896617118,36515726122.09,2121681311978.18,-0.0639803555281516,32.0,48.0,3280.300049,5940.459961,21367.36914,1184.9081941710028,1.0,1.1220064750993686,3.4886775028556194,2.5163497056814865,10.318550050925213,104686.8170775147,2.0100645362433758,103702.69985956102,2.978118994330155,104957.74659679976,103094.3331435642,27.68634204075653,28.922953666717483,31.29763573084357,73.94994116005506,71.84074815281448,52.98832719155461,2824.5830816183793,0.582077769775929,101349.92538116581,109719.83440060847,92980.01636172316,16739.818038885307,82.69335965203318,79.64903447366419,1.0,3752.850477380358,3757.598299194705,-4.747821814346935
2025-05-21,2781,106791.3124236974,110724.4641814568,106127.2345983214,109678.0763095368,78086364051.2,2178990523382.01,-0.0226852302746996,40.0,48.0,3309.300049,5844.609863,21080.35938,2886.986647825004,1.0,2.703396563299698,3.0363427791009867,5.92881377255543,13.032520996752428,105563.76839471528,3.897462147654335,104605.9682412007,4.848775030350876,106137.82902498402,103972.16556569388,41.707313687294615,32.57562795831095,31.662776367262826,81.45240777007993,76.07122892935924,92.04829529288396,2951.2006888829374,0.587758849629463,102009.21224418085,110833.00555997128,93185.41892839041,17647.586631580867,84.70514107542297,81.3344033409171,0.0,3955.8919988925045,3797.2570391342656,158.6349597582389
2025-05-22,2781,109673.4918561923,111970.1681100799,109285.0723887112,111673.2840187451,70157575642.18,2218898497873.57,0.1010390122731526,25.0,48.0,3292.300049,5842.009766,21112.4707,1995.207709208291,-1.0,1.819149073673909,5.745025969970419,7.64245763885516,8.16709016045789,106696.43131446138,4.664497812129877,105208.24132612524,6.1449964481199455,107521.69277342429,104998.98135943405,45.830408891942895,36.36270822506294,33.00561404092,84.94773177666521,78.47772328345233,100.0,2932.1931912014893,0.5914800469888201,102747.37301623166,112221.18401957864,93273.5620128847,18947.622006693942,88.86356584694138,83.84412417625853,0.0,4229.050592271087,3883.61574976163,345.4348425094572
2025-05-23,2781,111679.356260285,111798.9038726132,106841.301245188,107287.7967068221,67548133399.04,2131510862104.81,0.0,18.0,48.0,3363.600098,5802.819824,20915.66016,-4385.487311922989,1.0,-3.9270693527619915,0.46512030796179715,3.670432884823227,4.192397142998017,107239.07488521168,0.04543289995980904,105516.59468061023,1.6786004434403452,107463.21875677376,105304.1567390858,26.871864212227997,33.651038507110094,33.19002103126003,57.27115483664316,63.387869390173094,0.0,3076.865293802042,0.5053657051840851,103317.172949857,112418.36200547655,94215.98389423746,18202.378111239086,77.7524818676714,81.81357674006281,-1.0,4045.0299828132847,3915.898596371961,129.13138644132368
2025-05-24,2781,107278.5069779142,109454.5211792546,106895.2910814217,107791.1575412359,45903627162.57,2141965387828.07,0.0476047447617189,33.0,48.0,3363.600098,5802.819824,20915.66016,503.36083441379014,1.0,0.46916876836355925,-1.7204156307187524,4.457819241111904,2.956006509623532,107896.22803714556,-0.09738106495575474,105737.65398418621,1.9420740669703145,107545.2034528893,105635.75684603915,26.871864212228004,31.71413156571521,32.76833832681865,59.057412975457936,64.23784901903835,5.6327889910439914,3039.891351229698,0.4464055283180415,103990.93208246636,112241.8171360147,95740.04702891802,16501.770107096672,71.03688858216182,78.22134735409581,0.0,3894.911224496813,3911.7011219969318,-16.78989750011897
2025-05-25,2781,107802.2721295453,109313.3015279185,106683.372464366,109035.3870327308,47518041840.84,2166289174480.45,-0.3019494449210044,33.0,36.0,3363.600098,5802.819824,20915.66016,1244.2294914949016,1.0,1.1542964375523157,-2.362155827325274,2.432572592263038,4.734611524483312,108266.13896261762,0.7105158431656821,106089.72766321948,2.776573598965463,107917.74934784968,106089.04087093135,25.234449606534287,29.86279386309209,31.93818276575392,63.462276073107795,66.31931890981437,19.426626264068027,3010.6083306790338,0.5090970456594501,104705.29886033424,112005.99141226252,97404.60630840596,14601.385103856563,70.76722069883948,75.73663846901036,0.0,3832.1651342567784,3895.793924448901,-63.62879019212278
2025-05-26,2781,109023.7783282035,110376.8814726695,108735.6419218036,109440.3683582281,45950461570.55,2174618146067.49,-0.0032508154128475,28.0,36.0,3363.600098,5802.819824,20915.66016,404.9813254972978,-1.0,0.3714219177079814,2.0063527423236804,3.6306462722220267,6.44608961913975,108813.8799470015,0.5757431051367125,106563.11445655373,2.7000467435169027,108298.40410044428,106535.88453590426,30.10968981104082,29.933335562506013,31.36536927911166,64.89641080588666,66.99272245053797,23.889250922239967,2912.7962749709795,0.5830639586369499,105337.19340005764,111909.15962465777,98765.22717545752,13143.932449200249,71.95689696936532,74.47672463579534,0.0,3771.6398971072485,3870.963118980571,-99.32322187332238
2025-05-27,2781,109440.4094780203,110744.2078440242,107609.556733003,108994.6421508192,57450176271.9,2165759917665.08,-0.0018707879110883,76.0,36.0,3299.100098,5921.540039,21414.99023,-445.72620740889397,-1.0,-0.4072776929532118,1.1164966004961085,2.0634235459978223,4.631696204005986,109128.67315973116,-0.12281924175489493,106907.74511862293,1.9520541097192594,108472.46361303801,106863.71888455958,21.105509661628094,27.411099590826606,30.235577939601647,61.78258371690946,65.44187834923308,13.61185451884862,2928.643048975637,0.5081510387024019,105935.30955926955,111410.75039194335,100459.86872659574,10950.88166534761,71.24277974833201,73.3987430066409,0.0,3645.6816816891806,3825.906831522293,-180.22514983311248
2025-05-28,2781,108992.1725114153,109298.2886215052,106812.9299478466,107802.3245360646,49155377492.62,2142032300750.99,0.0039899929921398,97.0,36.0,3293.600098,5888.549805,21318.16992,-1192.3176147546037,-1.0,-1.0939231426667306,-1.1308828539270954,-1.7102340199498078,4.117183162487903,108860.70862066369,-0.9722369971769526,107212.23850768947,0.5503905492401433,108304.92884379465,106988.86630476025,15.040206296996974,23.876558649732427,28.4187152853533,53.73602908421284,61.35052249654508,0.0,2896.9798793081486,0.5046332234512829,106163.35274458272,111545.5064622235,100781.19902694195,10764.307435281546,62.933834033043226,69.91044001544168,0.0,3410.3365843127976,3742.7927820803948,-332.45619776759713
