date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,ETH_trends,gold_spot,gspc_spot,ndx_spot,price_change,target,percent_change_24h,percent_change_3d,percent_change_7d,percent_change_14d,ma_7d,price_vs_ma7d,ma_14d,price_vs_ma14d,close_7_ema,close_14_ema,dx,adx,adxr,rsi_7,rsi,stochrsi,atr,mfi,boll,boll_ub,boll_lb,boll_width,kdjk,kdjd,kdj_signal,macd,macds,macdh
2025-05-22,2781,2552.7667910511,2691.102323047,2546.4348209186,2664.1570470923,26596978352.2,321626120281.28,0.1014116923846499,50.0,61.0,3292.300049,5842.009766,21112.4707,111.80984630680041,-1.0,4.380667578156694,5.33734597029043,4.605683633389335,20.740508862020434,2540.0185364263857,4.887307272984236,2539.4103513437854,4.912427630394686,2554.3804523621625,2457.8860800772613,36.94695888853529,34.90217497709512,39.456932386703826,76.46550151352363,73.59666593392649,34.9383926514714,153.28252758748008,0.6723167443968416,2342.3542599278153,2995.6487844910534,1689.0597353645771,1306.5890491264763,63.82276410630364,61.49176713969076,1.0,192.64158651414118,190.2843134807637,2.3572730333774814
2025-05-23,2781,2664.0820452986,2731.2208080077,2504.8735848881,2526.4419813074,30536501878.09,305001571950.0,0.0235787774686835,62.0,61.0,3363.600098,5802.819824,20915.66016,-137.71506578490016,1.0,-5.169179719911943,0.08988167359325061,-0.38858285193215103,7.714097588100155,2538.610591063086,-0.4793413294076735,2552.334259853757,-1.014454844477952,2547.3958345984715,2467.026866907947,29.747095067671196,33.429295002974,37.73475027706673,55.34467473315073,62.82757613716922,0.0,158.50143441167708,0.5828903685136497,2376.98437341516,2988.898814153413,1765.069932676907,1223.8288814765058,58.223284578677806,60.40227295268644,-1.0,181.41933003401437,188.51131679141386,-7.091986757399496
2025-05-24,2781,2526.38800932,2575.1312600148,2516.0181532343,2530.6462312159,11380899855.94,305544348106.31,-0.1059102319382332,17.0,61.0,3363.600098,5802.819824,20915.66016,4.20424990850006,1.0,0.16640991321417165,-0.850235797187826,2.217173056861377,-2.004957342947722,2546.4522712154,-0.6207082763014298,2548.635940307536,-0.7058563683860365,2543.2084337528286,2475.5094488156737,29.747095067671207,32.377237878601775,36.20403244893389,55.7797063832057,63.00554712845698,0.9200439883418575,151.4022681517083,0.5304030621829323,2413.08697098315,2966.176534547414,1859.9974074188858,1106.1791271285283,54.85284054988077,58.552462151751214,0.0,170.89488885242145,184.9880312036154,-14.093142351193961
2025-05-25,2781,2530.8901761275,2553.8691683707,2467.8801023772,2551.7638148435,14556431364.04,308017902682.78,0.1838441054610645,28.0,55.0,3363.600098,5802.819824,20915.66016,21.117583627599743,1.0,0.8344739524280831,-4.218716474371053,2.142724425656084,1.6542618807749987,2554.0994512978573,-0.09144657437558203,2551.602076650143,0.006338691868809459,2545.3472790254964,2485.676697619384,21.188495696689564,29.180454398055428,34.19729586296861,58.16784912544143,63.93944865242432,5.747968340575976,146.72989656861313,0.4734502903531709,2449.69028673509,2929.468186738286,1969.9123867318942,959.5558000063918,54.42689659271637,57.17727363207293,0.0,162.38631751682396,180.46768846625713,-18.081370949433165
2025-05-26,2781,2551.3807643825,2598.5666553775,2530.3215699785,2564.1384181332,14936610009.42,309558187628.49,-0.0642650246620178,18.0,55.0,3363.600098,5802.819824,20915.66016,12.37460328970019,1.0,0.484943129051274,1.492076093759831,1.3827379138180662,2.7135391735970904,2559.0954150796715,0.1970619393013736,2556.4407001656787,0.30111075789954794,2550.045063802422,2496.1382603545594,26.065271868756824,28.290402246827256,32.50961197264251,59.65733733697107,64.50491202357333,8.671204152708754,141.12383862751864,0.5420694882750752,2487.14283424355,2864.309900176253,2109.9757683108473,754.3341318654057,55.21002499817336,56.52152408743974,0.0,154.85664943916981,175.34548066083968,-20.48883122166987
2025-05-27,2781,2564.1408030283,2712.2851667482,2512.5887065505,2663.0697270642,26264200535.87,321493910372.99,-0.0126310878978805,45.0,55.0,3299.100098,5921.540039,21414.99023,98.93130893099988,1.0,3.858267097882573,5.232793672020852,5.502653867574625,-0.6365318036838707,2578.937774348857,3.262271527143955,2555.2221375005497,4.220673732466324,2578.3012296178667,2518.395789249178,36.78314970474243,30.716901520517304,31.997408986321023,69.71511557201015,68.72701314965076,42.14529995072575,145.30759731138565,0.5318752842103026,2529.715988334685,2742.0032263159333,2317.4287503534365,424.57447596249676,64.12694294859654,59.05666370782533,1.0,155.08454496875402,171.29329352242257,-16.208748553668556
2025-05-28,2781,2663.010302828,2688.7421970566,2611.1609002178,2682.2128400301,19087366067.61,323766194607.74,0.0060912470658823,84.0,55.0,3293.600098,5888.549805,21318.16992,19.143112965899945,-1.0,0.7188363403088038,5.1121120390446695,5.08808673070158,2.7642902101774336,2597.490008526657,3.2617192453224857,2560.3756888809144,4.758565380787455,2604.2791322209246,2540.2380626866343,36.783149704742435,32.45011528743877,32.12675364378324,71.32876607465005,69.483427260232,61.805140904916236,140.47000442018322,0.5208676396664035,2553.500896570365,2713.464479952957,2393.537313187773,319.92716676518376,70.34815476597277,62.82049406054114,0.0,155.02283629009526,168.03920207595712,-13.016365785861865
2025-05-29,2781,2681.8432967298,2784.7524673916,2620.9827839112,2632.6548758292,27567479810.57,317848679436.61,-0.1170934584383739,63.0,55.0,3317.100098,5912.169922,21363.94922,-49.55796420089973,-1.0,-1.847652187077875,2.672104485914728,-1.1824442293100534,3.368779763735974,2592.989698346214,1.529708255620306,2566.5041173863,2.577465510176826,2611.373068122993,2552.5603044389763,44.64101111627329,35.93322838139149,33.21431785452845,61.441169945567246,65.093915336081,21.04485375908192,142.13426721029563,0.6074980211491754,2567.8582772534346,2697.9804594473408,2437.7360950595285,260.2443643878123,64.8786967948098,63.506561638630686,0.0,149.25450515223565,164.28226269121285,-15.027757538977198
2025-05-30,2781,2632.8360195978,2648.2606783507,2510.1639102079,2529.9436479287,24599403942.53,305412785923.94,-0.0757284183697453,67.0,55.0,3288.899902,5911.689941,21340.99023,-102.71122790050003,-1.0,-3.9014315489473095,-4.9989708411525395,0.13860071385798367,-0.2505207166808687,2593.4899364349717,-2.450223060962509,2566.0502637490285,-1.407089188018331,2591.0157130744196,2549.5447502376064,25.283631489871855,32.890486412385876,33.12179458534486,46.017165946442944,57.04980023316778,0.0,141.84587441974463,0.535152373336945,2565.23432440672,2696.2334484810895,2434.235200332351,261.99824814873864,49.78122841126329,58.931450562841555,-1.0,134.84076308762678,158.39396277049565,-23.553199682868865
2025-05-31,2781,2529.8340800535,2550.4836539901,2484.2156155201,2529.0873780335,13992843764.89,305322676115.81,-0.1083308954628146,38.0,55.0,3288.899902,5911.689941,21340.99023,-0.8562698952000574,1.0,-0.03384541374671368,-5.708922860681009,-0.06159901621851649,2.154208283851955,2593.2672431232,-2.474865066833795,2569.8597571693,-1.586560473662213,2575.5336293141895,2546.817100610392,21.193709999248597,29.548550294346654,32.10086764505966,45.905083403194396,56.98657537296365,0.0,136.4474575659203,0.5427450814665117,2566.176798006045,2695.773655086356,2436.579940925734,259.1937141606222,39.62617432617941,52.49635848395417,0.0,121.94299192755898,151.1037686019083,-29.160776674349336
2025-06-01,2781,2529.0966040916,2547.7729616588,2472.5407947259,2536.2663088146,13287852481.91,306177993353.16,-0.0010831761991081,33.0,54.0,3288.899902,5911.689941,21340.99023,7.178930781100007,1.0,0.28385459685786874,-3.6612686265700023,-0.6073252523901895,1.5223858667397394,2591.0533136905,-2.1144684513598673,2572.5763824941787,-1.4114284002084747,2565.716799189292,2545.4103283709533,19.306540213853644,26.62226169992008,30.535551660734065,47.16384984001134,57.41271068296143,2.565520690171846,132.07493680621494,0.5623760687521233,2568.17022900099,2694.431385623033,2441.909072378947,252.52231324408604,33.61132464455286,46.20134720415373,0.0,111.02091507610066,143.0871978967468,-32.06628282064614
2025-06-02,2781,2536.1849280076,2615.5157003333,2477.292797788,2607.0974987606,16744168823.55,314750525763.57,0.1065193281709393,29.0,54.0,3370.600098,5935.939941,21491.75,70.831189946,-1.0,2.7927347258382085,3.049627247431652,1.6753807174994861,3.0812847556991985,2597.1903252087,0.3814573562722626,2578.142870144186,1.1230808405429742,2576.061974082119,2553.635284422906,26.462035642276803,26.576482826307714,29.40438913661225,58.3263565372484,61.46878293621005,26.98484723364794,132.5140772161686,0.6370627953118719,2564.51862372022,2680.9910506481965,2448.046196792244,232.94485385595272,37.05249956557098,43.15173132462614,0.0,106.84888807894913,135.83953593318728,-28.990647854238148
2025-06-03,2781,2607.1975995931,2652.4187771318,2582.2505360076,2593.2802593803,18291179016.33,313093905738.22,0.1239263221506594,67.0,54.0,3350.199951,5970.370117,21662.58008,-13.81723938030018,1.0,-0.5299855255458952,2.5381836113828937,-2.620639894428778,2.737809230639865,2587.220401253857,0.23422272503363897,2583.079087801357,0.3949229284971523,2580.366545406664,2558.9212810838917,30.098444622866964,27.582757625324643,28.883922990530074,55.65061554243444,60.26303068676861,19.725692053150567,128.06080320942036,0.6315755058909678,2563.6794806539847,2679.0064956772835,2448.352465630686,230.65403004659765,37.5924362430501,41.29863296410079,0.0,101.26032489041381,128.92369372463259,-27.663368834218772
