date,daily_weighted_sentiment,comment_volume
2024-12-31,-0.010758513167129292,39
2025-01-01,0.46104370727835886,46
2025-01-02,0.3878085870103738,39
2025-01-03,-0.04791322821064999,30
2025-01-04,-0.001888120605934799,26
2025-01-05,0.5129747631777806,67
2025-01-06,0.271498598618369,60
2025-01-07,-0.02708688637684148,41
2025-01-08,-0.009025696881833118,53
2025-01-09,-0.04220998208773764,15
2025-01-10,0.0,10
2025-01-11,-0.0012326699347313048,15
2025-01-12,-0.017924380653044757,8
2025-01-13,-0.12025332296147456,70
2025-01-14,-0.12462872371492065,25
2025-01-15,0.05312264010867855,62
2025-01-16,0.13839013427162597,81
2025-01-17,0.0852964242072147,64
2025-01-18,0.02863992923914,19
2025-01-19,-0.4279695688561831,67
2025-01-20,-0.11981382889740923,80
2025-01-21,0.31219350077874014,67
