,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,ETH_trends,gold_spot,gspc_spot,ndx_spot
211,2024-12-16,2781,3951.6527447567,4106.9556004971,3882.7053336645,3987.4810414282,46536359669.05,480275264779.15,0.5253841375049791,14.0,82.0,2651.399902,6074.080078,22096.66016
210,2024-12-17,2781,3987.3339471829,4040.3380066691,3849.2866656205,3886.7660426368,35418700472.09,468179858814.99,-0.0502601114786116,66.0,82.0,2644.399902,6050.609863,22001.08008
209,2024-12-18,2781,3886.8870791456,3902.7156363594,3617.8404567041,3618.7913736086,48946681636.27,435986145065.32,0.0479357048459009,31.0,82.0,2636.5,5872.160156,21209.32031
208,2024-12-19,2781,3619.5819221034,3717.6623812967,3330.8726515922,3417.9278681825,58879190249.81,411699176707.71,-0.4622107441308068,19.0,82.0,2592.199951,5867.080078,21110.50977
207,2024-12-20,2781,3417.9301837478,3496.3273520853,3098.2036178716,3472.5534066558,66383827228.93,418284340600.46,-0.0409006336737469,90.0,82.0,2628.699951,5930.850098,21289.15039
206,2024-12-21,2781,3472.5890541055,3552.9215815976,3293.5057171966,3337.2224715334,31579389835.69,401953429395.28,-0.3639652854195834,66.0,82.0,2628.699951,5930.850098,21289.15039
205,2024-12-22,2781,3336.998867258,3398.6575707821,3219.2948977546,3277.535187571,24780768375.24,394793968020.03,-0.0130068784137423,16.0,58.0,2628.699951,5930.850098,21289.15039
204,2024-12-23,2781,3277.5141746011,3461.527898931,3217.3686777831,3415.7854103169,34496081389.08,411529471310.73,-0.1261471254484994,42.0,58.0,2612.300049,5974.069824,21503.16992
203,2024-12-24,2781,3415.738085911,3535.8576270973,3355.6090352451,3492.0497597155,23083678195.36,420636637647.57,0.5254945158958435,1.0,58.0,2620.0,6040.040039,21797.65039
202,2024-12-25,2781,3491.9575379833,3542.833751548,3440.0970497188,3493.2352807716,17651873224.87,420805325622.48,-0.0226275381140821,21.0,58.0,2620.0,6040.040039,21797.65039
201,2024-12-26,2781,3493.3041922207,3512.6043835272,3302.3063112783,3331.2258824951,22247726776.29,401267700708.07,0.2866572326713508,31.0,58.0,2638.800049,6037.589844,21768.31055
200,2024-12-27,2781,3331.053665099,3436.7106407988,3302.575614754,3328.9168712443,24091627402.5,400999129472.43,0.0,18.0,58.0,2617.199951,5970.839844,21473.01953
199,2024-12-28,2781,3328.7745967712,3419.9202814856,3318.0338858914,3397.902272888,14305648522.6,409328700067.08,0.61139958831809,26.0,58.0,2617.199951,5970.839844,21473.01953
198,2024-12-29,2781,3397.8626458717,3406.6485385843,3321.6647259099,3349.513340318,13440907791.52,403520330663.85,-0.3193989396095276,2.0,55.0,2617.199951,5970.839844,21473.01953
197,2024-12-30,2781,3349.5859346876,3428.5274047258,3298.8045578913,3356.3926991904,26981583962.32,404347423138.75,-0.3193989396095276,2.0,55.0,2606.100098,5906.939941,21197.08984
196,2024-12-31,2781,3356.3948050737,3444.3966344966,3311.412658042,3332.5317212232,20845452085.23,401463938534.13,0.2218574081697771,21.0,55.0,2629.199951,5881.629883,21012.16992
195,2025-01-01,2781,3332.4064147574,3366.5314942084,3310.2557667749,3353.5041743827,14195410493.37,404000591706.51,0.0590898510930058,24.0,55.0,2629.199951,5881.629883,21012.16992
194,2025-01-02,2781,3353.4120591529,3493.4481681892,3348.3520908539,3451.3926926647,22243574697.77,415841970320.37,0.0032519560409244,65.0,55.0,2658.899902,5868.549805,20975.61914
193,2025-01-03,2781,3451.6808770033,3627.0556989718,3421.831557405,3605.0096583348,21877299254.73,434338537849.75,-0.0158460787539304,50.0,55.0,2645.0,5942.470215,21326.16016
192,2025-01-04,2781,3605.2007811691,3669.1967018081,3574.326983632,3657.7066852496,16060610758.64,440664193246.25,0.0050208947612243,97.0,55.0,2645.0,5942.470215,21326.16016
191,2025-01-05,2781,3657.7430587801,3673.813081444,3594.6168939247,3634.1036630331,12830306907.97,437816515326.14,0.0625438636544219,55.0,59.0,2645.0,5942.470215,21326.16016
190,2025-01-06,2781,3634.1137836192,3743.941767051,3611.2144289023,3688.6113395,23973574043.13,444346734921.02,0.0198827192007777,16.0,59.0,2638.399902,5975.379883,21559.5
189,2025-01-07,2781,3688.3413573129,3701.1069163677,3358.0897774991,3381.5773155737,32235312545.23,407400616612.34,-0.0341732609963071,68.0,59.0,2656.699951,5909.029785,21173.03906
188,2025-01-08,2781,3381.6155298419,3413.682862577,3209.2146838422,3326.3292760284,34337730881.99,400750347872.92,0.0449195826053619,21.0,59.0,2664.5,5918.25,21180.9707
187,2025-01-09,2781,3326.359608307,3355.8622246894,3159.3840691968,3219.4307348981,28815726275.84,387883732074.99,0.0956663767310188,17.0,59.0,2683.800049,5918.25,21180.9707
