,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,BTC_trends,gold_spot,gspc_spot,ndx_spot
211,2024-12-16,2781,104293.5764606967,107780.5795522059,103322.9828188519,106029.7205860963,91020417816.32,2099101774990.23,0.0565312407119871,56.0,70.0,2651.399902,6074.080078,22096.66016
210,2024-12-17,2781,106030.6905824521,108268.4470804361,105291.7378675813,106140.5982384302,68589364867.85,2101344621529.72,0.0099730322526955,95.0,70.0,2644.399902,6050.609863,22001.08008
209,2024-12-18,2781,106147.2952596834,106470.6063648963,100041.5427029048,100041.5427029048,93865656139.45,1982994456166.16,-0.2003621734244003,45.0,70.0,2636.5,5872.160156,21209.32031
208,2024-12-19,2781,100070.6874289428,102748.1508466264,95587.6815019394,97490.949982775,97221662391.74,1930044053238.37,0.0387354773776687,117.0,70.0,2592.199951,5867.080078,21110.50977
207,2024-12-20,2781,97484.6973095173,98098.9113051982,92175.1804504625,97755.9301603751,105634083408.08,1935459460468.73,-0.3168061412150561,84.0,70.0,2628.699951,5930.850098,21289.15039
206,2024-12-21,2781,97756.1922018157,99507.0985909185,96426.5207387424,97224.7263442974,51765334293.97,1924861940275.83,0.3156893472194672,73.0,70.0,2628.699951,5930.850098,21289.15039
205,2024-12-22,2781,97218.3182689266,97360.2647012436,94202.1862477336,95104.9343710597,43147981313.7,1882953315399.26,-0.0350675969167266,21.0,57.0,2628.699951,5930.850098,21289.15039
204,2024-12-23,2781,95099.3919548289,96416.2139282978,92403.1313832204,94686.2394384325,65239002918.62,1875314065984.88,-0.0004571276674187,54.0,57.0,2612.300049,5974.069824,21503.16992
203,2024-12-24,2781,94684.3475533376,99404.0613248691,93448.0139404195,98676.0973968281,47114953674.13,1953851713516.67,0.1711909396980613,31.0,57.0,2620.0,6040.040039,21797.65039
202,2024-12-25,2781,98675.9108627628,99478.7490158499,97593.470165093,99299.1927492124,33700394629.11,1966210082590.95,-0.1581297814846038,4.0,57.0,2620.0,6040.040039,21797.65039
201,2024-12-26,2781,99297.6970087846,99884.57216657,95137.8852950566,95795.5165975983,47054980873.26,1896937576269.02,-0.0289742818900517,9.0,57.0,2638.800049,6037.589844,21768.31055
200,2024-12-27,2781,95704.9745862557,97294.8464204259,93310.7438042296,94164.8603483526,52419934565.08,1864541907464.46,-0.0001727996161017,43.0,57.0,2617.199951,5970.839844,21473.01953
199,2024-12-28,2781,94160.1862227031,95525.8985215209,94014.2864973319,95163.9319264048,24107436184.88,1884684226460.12,-0.0265997485633297,79.0,57.0,2617.199951,5970.839844,21473.01953
198,2024-12-29,2781,95174.0551172888,95174.8784017898,92881.7918699336,93530.2284378695,29635885266.64,1852119372624.09,-0.0249986180616815,34.0,53.0,2617.199951,5970.839844,21473.01953
197,2024-12-30,2781,93527.1974974745,94903.3238957155,91317.1354600511,92643.2146040146,56188003691.42,1834643033988.95,-0.0007661855988911,55.0,53.0,2606.100098,5906.939941,21197.08984
196,2024-12-31,2781,92643.251221688,96090.6037883835,91914.0277832714,93429.2028113992,43625106842.87,1850183342119.26,-0.0107585131671292,39.0,53.0,2629.199951,5881.629883,21012.16992
195,2025-01-01,2781,93425.1021360494,94929.8648089961,92788.1278846819,94419.7575054903,24519888918.84,1869850163161.44,0.4610437072783588,46.0,53.0,2629.199951,5881.629883,21012.16992
194,2025-01-02,2781,94416.2865472787,97739.8168446244,94201.5704154564,96886.8782682304,46009564411.19,1918730145566.76,0.3878085870103738,39.0,53.0,2658.899902,5868.549805,20975.61914
193,2025-01-03,2781,96881.7290234686,98956.9170426074,96034.6140572454,98107.4287619937,35611391162.85,1943222658412.32,-0.0479132282106499,30.0,53.0,2645.0,5942.470215,21326.16016
192,2025-01-04,2781,98106.9935527892,98734.4281764666,97562.9759692776,98236.2290916657,22342608077.72,1945654462825.16,-0.0018881206059347,26.0,53.0,2645.0,5942.470215,21326.16016
