,date,name,open,high,low,close,volume,marketCap,daily_weighted_sentiment,comment_volume,XRP_trends,gold_spot,gspc_spot,ndx_spot
309,2024-09-09,2781,0.5293100258,0.542205337,0.5275247249,0.5396377623,829101046.07,30397211044.15,-0.3126847289624761,8.0,22.0,2501.800049,5471.049805,18660.7793
308,2024-09-10,2781,0.5396333747,0.5426144285,0.5339620563,0.5410783239,704956462.77,30478520682.08,0.0,5.0,22.0,2512.300049,5495.52002,18829.14063
307,2024-09-11,2781,0.5410768425,0.54108075,0.5239286523,0.5353119845,894903275.66,30153468947.78,-0.0309463869951186,33.0,22.0,2512.100098,5554.129883,19237.30078
306,2024-09-12,2781,0.5353062879,0.5809376738,0.5340739633,0.5625760124,1649796649.86,31721423747.59,0.320803034937743,21.0,22.0,2551.199951,5595.759766,19423.07031
305,2024-09-13,2781,0.5625760124,0.574501064,0.5564285392,0.5731492406,1172399875.66,32317600960.79,0.3019654750823974,3.0,22.0,2581.300049,5626.02002,19514.58984
304,2024-09-14,2781,0.5731491507,0.5985774155,0.5711675159,0.5961992555,1163728418.43,33617304692.37,0.3019654750823974,3.0,22.0,2581.300049,5626.02002,19514.58984
303,2024-09-15,2781,0.5961992555,0.5962146853,0.5705534976,0.5709745671,804536338.93,32194984842.15,0.050371881384049,14.0,20.0,2581.300049,5626.02002,19514.58984
302,2024-09-16,2781,0.5709745671,0.5898428024,0.5607215342,0.5854073044,1261024892.52,33009329085.08,0.0,7.0,20.0,2580.399902,5633.089844,19423.06055
301,2024-09-17,2781,0.585416874,0.5932450887,0.5793399724,0.5845018671,1006340429.84,32957690736.5,0.0,7.0,20.0,2564.300049,5634.580078,19432.40039
300,2024-09-18,2781,0.5845010735,0.5854695799,0.5630806174,0.5852508865,1185142248.93,32999794865.12,0.005955254802337,13.0,20.0,2570.699951,5618.259766,19344.49023
299,2024-09-19,2781,0.5852477857,0.5940541511,0.5818994716,0.5873714794,1232042100.52,33148367951.95,0.0,3.0,20.0,2588.0,5713.640137,19839.83008
298,2024-09-20,2781,0.5873776382,0.5921419399,0.5769531107,0.5851712251,1225009128.4,33023808308.79,0.0,3.0,20.0,2619.899902,5702.549805,19791.49023
297,2024-09-21,2781,0.5851704843,0.6099915445,0.5805676854,0.5981406412,952605937.88,33756059309.87,0.0,3.0,20.0,2619.899902,5702.549805,19791.49023
